bench,268
waste_basket,173
bicycle_parking,74
cafe,62
restaurant,49
parking,28
bank,25
fuel,22
drinking_water,20
pharmacy,14
bicycle_rental,11
school,9
post_box,9
recycling,8
waste_disposal,7
shelter,7
telephone,6
pub,5
vending_machine,4
driving_school,3
police,3
charging_station,3
post_office,3
ice_cream,3
veterinary,2
rescue_station,2
library,2
fast_food,2
car_wash,2
parking_entrance,2
clock,1
doctors,1
bicycle_repair_station,1
kindergarten,1
fountain,1
motorcycle_parking,1
spa,1
bar,1
animal_shelter,1
